Cast,Country,Date Added,Description,Director,Duration,Listed In,Rating,Release Year,Show Id,Title,Type
"Paul Kalkbrenner, Rita Lengyel, Corinna Harfouch, Araba Walton, Peter Schneider, Rolf Peter Kahl, Henriette MÃ¼ller, Udo Kroschwald, Megan Gay, Max Mauff",Germany,15-01-2017,"DJ Ickarus is at the top of his game, dazzling fans and touring the world â€“ until he gets locked in the loony bin after taking a few too many drugs.",Hannes StÃ¶hr,105 min,"Dramas, International Movies, Music & Musicals",TV-MA,2008,s5633,Berlin Calling,Movie
"Ezra Miller, Addison Timlin, Jeremy Allen White, Michael Stuhlbarg, Emory Cohen, David Costabile, Rosemarie DeWitt, Dariusz M. Uczkowski, Gary Wilmes, Paul Sparks, Alexandra Neil, Lee Wilkof",United States,13-08-2020,"When a prep school loner films two classmates overdosing on cocaine, his footage plays a role in the emotional fallout within the school community.",Antonio Campos,107 min,"Dramas, Independent Movies",TV-MA,2008,s6098,Afterschool,Movie
Tim Minchin,United Kingdom,31-12-2018,Comedic pianist Tim Minchin performs a host of his catchy songs that touch on everything from the Middle East to the healing power of canvas bags.,Matt Askem,127 min,"Music & Musicals, Stand-Up Comedy",TV-MA,2008,s4248,Tim Minchin: So F**king Rock,Movie
"Ajay Devgn, Kareena Kapoor, Arshad Warsi, Tusshar Kapoor, Shreyas Talpade, Celina Jaitly, Amrita Arora, Anjana Sukhani",India,28-09-2020,A man's relationship with his jealous wife enters choppy waters after he has to spend a night on a yacht with a woman he's rescued from gangsters.,Rohit Shetty,135 min,"Comedies, International Movies, Music & Musicals",TV-MA,2008,s1941,Golmaal Returns,Movie
"Madhavan, Irrfan Khan, Soha Ali Khan, Paresh Rawal, Kay Kay Menon, Anand Goradia, Vijay Maurya, Vibhavari Deshpande, Santosh Juvekar, Kamlesh Sawant",India,01-11-2018,"A moving portrayal of the 2006 train bombings in Mumbai, this Indian drama follows the interconnected stories of several strangers.",Nishikant Kamat,135 min,"Dramas, International Movies",TV-MA,2008,s4452,Mumbai Meri Jaan,Movie
"Anupam Kher, Atul Kulkarni, Aakash Pandey, Milind Gunaji, Perizaad Zorabian, Smiley Suri, Parvin Dabas, Rajit Kapoor, Purab Kohli, Rajpal Yadav, Sarika, Sayaji Shinde, Seema Biswas, Vijay Raaz, Ashwin Mushran, Veerendra Saxena, Siddhant Karnick",India,01-03-2018,"The lives of a middle-aged soap opera addict, an ambitious career woman, a fervent activist and nine others from different walks of Indian life intersect in Mumbai. But this vibrant melting pot threatens to bubble over with bias and bigotry.",N. Chandra,137 min,"Dramas, Independent Movies, International Movies",TV-MA,2008,s8770,Y.M.I.: Yeh Mera India,Movie
"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",India,15-12-2017,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,Vikram Bhatt,143 min,"Horror Movies, International Movies, Thrillers",TV-MA,2008,s5963,1920,Movie
"Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arbaaz Khan, Arjan Bajwa, Raj Babbar, Kiran Juneja, Samir Soni",India,02-08-2018,A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.,Madhur Bhandarkar,158 min,"Dramas, International Movies",TV-MA,2008,s4722,Fashion,Movie
Arthur Shawcross,United States,01-08-2016,"In this jailhouse interview, Arthur Shawcross, the Genesee River Killer, shares candid details of his crimes and his surprising family bonds.",Christopher Martin,45 min,Documentaries,TV-MA,2008,s5825,Interview with a Serial Killer,Movie
"John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Lucy Decoutere, Sarah Dunsworth, Barrie Dunn, Jeanna Harrison, Shelley Thompson, Tyrone Parsons",Canada,01-03-2018,"A year after the Season 7 finale, the boys are poised to live the good life. But an old enemy throws a wrench in things once again.",Mike Clattenburg,47 min,"Comedies, Cult Movies",TV-MA,2008,s5019,Trailer Park Boys: Say Goodnight to the Bad Guys,Movie
"Graham Chapman, Eric Idle, Terry Jones, Michael Palin, Terry Gilliam, John Cleese",,02-10-2018,Follow the evolution of the British sketch comedy troupe that redefined humor and shaped an entire generation of American comics.,Will Yapp,55 min,Documentaries,TV-MA,2008,s4544,Monty Python Conquers America,Movie
Mike Birbiglia,United States,22-11-2019,Mike Birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.,,56 min,Stand-Up Comedy,TV-MA,2008,s3241,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,Movie
Gina Yashere,United Kingdom,31-12-2018,"Standup comedian and ""Daily Show"" correspondent Gina Yashere delivers a sharp set of wry observations on the environment, money and more.",,58 min,Stand-Up Comedy,TV-MA,2008,s4236,Gina Yashere: Skinny B*tch,Movie
"Jeff Dunham, Brian Haner",United States,15-03-2019,"Politically incorrect, sometimes raunchy ventriloquist Jeff Dunham is joined by his irreverent cast of characters in this hilarious Christmas special.",Michael Simon,85 min,Stand-Up Comedy,TV-MA,2008,s4011,Jeff Dunham's Very Special Christmas Special,Movie
"Wenpei Ju, Fan Wei, Liu Hua, Qianyuan Wang, Ren Zhengbin, He Jiang",China,01-12-2018,"When a restaurant owner in Cyprus returns to Beijing to sign divorce papers, a drunk woman he encounters triggers a string of mishaps.",Liu Jiang,96 min,"Dramas, International Movies",TV-MA,2008,s4350,Set Off,Movie
"Alfredo Castro, Paola Lattus, HÃ©ctor Morales, Amparo Noguera, Elsa Poblete","Chile, Brazil",26-02-2021,"Amid the violence of Pinochet's reign in 1978 Chile, emotionally dead RaÃºl finds escape in his obsession over the protagonist in ""Saturday Night Fever.""",Pablo LarraÃ­n,97 min,"Dramas, Independent Movies, International Movies",TV-MA,2008,s1267,Tony Manero,Movie
"Abstract Rude, Chali 2na, Cut Chemist, Ellay Khule, Riddlore, Medusa, Myka Nyne, Pigeon John, 2Mex",United States,11-02-2021,"Examine how the group of alternative hip-hop artists known as the Good Lifers started a movement and created a robust, progressive musical community.",Ava DuVernay,98 min,"Documentaries, Music & Musicals",TV-MA,2008,s1328,This Is the Life,Movie
"Gabriel Sunday, David Carradine, Mariel Hemingway, Brooke Nevin, Nora Dunn, Michael Welch, Zachary Ray Sherman, Vanessa Lengies, Tony Hale, Joe Mantegna",United States,01-10-2018,"After declaring that he's going to film himself committing suicide for a school project, Archie videotapes reactions from friends and family.",David Lee Miller,111 min,"Comedies, Dramas, Independent Movies",TV-MA,2009,s4592,My Suicide,Movie
"Manisha Koirala, Rajit Kapoor, Sanaj Naval, Rajendra Gupta, Suhaas Khandke, Nassar Abdulla, Saurabh Dubey, Usha Jadhav, Ashwin Kaushal, Milind Soman",India,22-09-2019,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",Deepti Naval,121 min,"Dramas, Independent Movies, International Movies",TV-MA,2009,s3499,Do Paise Ki Dhoop Chaar Aane Ki Baarish,Movie
"Jirayu La-ongmanee, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Nicole Theriault, Chumphorn Thepphithak, Gacha Plienwithi, Suteerush Channukool, Peeratchai Roompol, Nattapong Chartpong",Thailand,05-09-2018,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.","Banjong Pisanthanakun, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom, Visute Poolvoralaks",125 min,"Horror Movies, International Movies",TV-MA,2009,s7738,Phobia 2,Movie
"Abhay Deol, Mahie Gill, Kalki Koechlin, Sindbad Phgura, Ammo 'Too Sweet', Jimi the Quiff, Parakh Madan",India,01-10-2018,"Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths.",Anurag Kashyap,137 min,"Dramas, International Movies, Romantic Movies",TV-MA,2009,s4563,Dev.D,Movie
"Corey Feldman, Tony Todd, Tara Leigh, Erin Way, Mark Alan, Stuart Pankin",United States,18-11-2009,"After committing suicide, a washed-up rocker returns from the grave to torment the five people who betrayed him in life.",Joe Dante,29 min,Horror Movies,TV-MA,2009,s5956,Splatter,Movie
Kevin Hart,United States,30-01-2020,"Stand-up comedy star Kevin Hart delivers his unique perspective on work, race, family and friends with this laugh-riot comedy show.",Shannon Hartman,62 min,Stand-Up Comedy,TV-MA,2009,s2979,Kevin Hart: I'm a Grown Little Man,Movie
"Louis Koo, Richie Ren, Stanley Fung Sui-Fan, Michelle Ye, Lam Suet, Alexander Chan, Monica Mok",Hong Kong,01-12-2018,A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.,Cheang Pou Soi,87 min,"International Movies, Thrillers",TV-MA,2009,s4331,Accident,Movie
"Mohammad Amir Naji, Shahnawaz Bhat, Shamim Basharat, Salma Ashai, Mudessir Ahmed Khan, Rayes Mohiuddin",India,01-10-2016,"A young Kashmiri man sets out to escape to Pakistan and make sense of his brother's death, but he drifts aimlessly until finding his brother's camera.",Aamir Bashir,100 min,"Dramas, International Movies",TV-MA,2010,s5768,Harud,Movie
"Mai Charoenpura, Akara Amarttayakul, Supakson Chaimongkol, Kachapa Toncharoen, Wiradit Srimalai, Vasana Chalakorn, Ratchanont Sukpragawp, Arisara Thongborisut",Thailand,14-09-2018,"A haunted hotel, a body in a water tank, a nightclub fire and a prison death comprise four horror tales taken from Thailand's newspaper headlines.","Chatchai Katenut, Manussa Vorasingha, Tanwarin Sukkhapisit, Poj Arnon",100 min,"Horror Movies, International Movies",TV-MA,2010,s8092,Still,Movie
"Mostafa Shaban, Ghada Adel, Arwa Gouda, Ahmed Salah Al-Saadany, Ashraf Zaki, Sawsan Badr, Fatma Nasser, Said Saleh, Ali Hassanein, Majed Abdulazim",Egypt,20-06-2019,"A detective investigates the murder of a young musician, whose philandering lifestyle leaves a long list of suspects and a lot of questions.",Magdy Al-Hawwary,101 min,"Dramas, International Movies, Music & Musicals",TV-MA,2010,s8245,The Chord,Movie
"Krissada Sukosol, Natee Aekwijit, Yoakyake Chernyim, Der Doksadao, Note Chern-Yim, Kohtee Aramboy, Chaleumpol Tikumpornteerawong",Thailand,30-07-2018,"Two new monks, one of them a former rock music star seeking inner peace, join a temple plagued by thieves who are stealing its valuable holy relics.",Note Chern-Yim,102 min,"Comedies, Faith & Spirituality, International Movies",TV-MA,2010,s6988,Holy Man 3,Movie
"Aamir Khan, Monica Dogra, Kriti Malhotra, Prateik Babbar, Aasha Pawar, Jyoti Pawar, Norma Lobo, Kitu Gidwani, Danish Husain, Jehan Manekshaw",India,17-04-2021,"In this intimate drama, circumstances draw together four people from different castes â€“ which would normally preclude them from forming friendships.",Kiran Rao,102 min,"Dramas, International Movies",TV-MA,2010,s1018,Dhobi Ghat (Mumbai Diaries),Movie
"Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto, Yat Ning Chan, Tat-Ming Cheung, Matt Chow, Chui Tien-you, Queenie Chu, Charmaine Fong, Vincent Kok",Hong Kong,01-08-2018,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating a meeting between Cherie, a makeup saleswoman, and Jimmy, an advertising exec.",Pang Ho-cheung,103 min,"Comedies, Dramas, International Movies",TV-MA,2010,s7346,Love In A Puff,Movie
"Luis Tosar, Gael GarcÃ­a Bernal, Juan Carlos Aduviri, Karra Elejalde, RaÃºl ArÃ©valo, Carlos Santos, Cassandra Ciangherotti, Milena Soliz, LeÃ³nidas Chiri, Vicente Romero, Daniel CurrÃ¡s, Pau CÃ³lera","Spain, Mexico, France",17-05-2011,"While making a film about the incursion of Christopher Columbus in the New World, a director finds the Bolivian locals protesting modern exploitation.",IcÃ­ar BollaÃ­n,103 min,"Dramas, International Movies",TV-MA,2010,s5955,Even the Rain,Movie
"Juhi Chawla, Rahul Bose, Nandita Das, Sanjay Suri, Manisha Koirala, Purab Kohli, Shernaz Patel, Abhimanyu Singh, Arjun Mathur, Radhika Apte","India, Japan",04-03-2019,"Four individuals in modern India grapple with their identities amid social taboos, trauma and brutal sexual discrimination in this quartet of stories.",Onir,106 min,"Dramas, Independent Movies, International Movies",TV-MA,2010,s7036,I Am,Movie
,Canada,15-02-2017,"Celebrate the remarkable 40-year career of influential Canadian rockers Rush with this documentary, which details the band's formation and evolution.","Sam Dunn, Scot McFadyen",107 min,"Documentaries, Music & Musicals",TV-MA,2010,s5603,Rush: Beyond the Lighted Stage,Movie
"Omkar Das Manikpuri, Raghuvir Yadav, Malaika Shenoy, Nawazuddin Siddiqui, Naseeruddin Shah, Sitaram Panchal, Shalini Vatsa, Farrukh Jaffar, Aamir Bashir, Vishal Om Prakash",India,17-04-2021,Two indigent farmers consider suicide so that their families can collect a government subsidy that's paid to the relatives of deceased farmers.,"Anusha Rizvi, Mahmood Farooqui",109 min,"Comedies, Dramas, Independent Movies",TV-MA,2010,s1022,Peepli Live,Movie
"Sedef AvcÄ±, Cemal HÃ¼nal, BegÃ¼m KÃ¼tÃ¼k, Engin Altan DÃ¼zyatan, Sinem Kobal, GÃ¼rgen Ã–z, Burcu Kara, Kubilay PenbeklioÄŸlu",Turkey,12-03-2021,"Bored with her life and inspired by a friend's wedding, Esra quits her job and dumps her boyfriend, leading to a series of romantic misadventures.",Ketche,110 min,"Comedies, International Movies, Romantic Movies",TV-MA,2010,s1216,Romantik Komedi,Movie
"Mohamed Saad, Mai Ezz El-Din, Hassan Hosny, Youssef Fawzy, Youssef Eid, Ahmad Mounir, Khaled Talaat, Maged El Kedwany, Entsar, Maysara",,28-04-2020,"To upgrade his life, a simple man fakes his credentials as a lawyer when sudden extraordinary abilities give him the talent to thrive.",Ashraf Fayeq,111 min,"Comedies, International Movies",TV-MA,2010,s2620,Lembi 8 Giga,Movie
"Subodh Bhave, Mohan Joshi, Vinay Apte, Uday Tikekar, Tejaswini Pandit, Saii Ranade, Daksha Mahendra, Gargi Datar",India,15-03-2018,"Believing himself to be God's envoy, a troubled young man embarks on a killing spree as his passion for music becomes a psychotic obsession.",Girish Joshi,115 min,"Horror Movies, International Movies, Thrillers",TV-MA,2010,s7833,Ranbhool,Movie
"Puri Hiranyapluek, Paradorn Srichaphan, Chatchai Plengpanich",Thailand,25-07-2018,A small but fierce group of resistance fighters engages in a brutal battle to protect their village from an army of Burmese invaders.,Tanit Jitnukul,122 min,"Action & Adventure, International Movies",TV-MA,2010,s6228,Bang Rajan 2,Movie
"Ahmed Helmy, Lotfy Labib, Edward, Enaam Salousa",Egypt,25-04-2020,"After 20 years abroad, a photographer returns to his birth country of Egypt and gets stranded without identification in a now unfamiliar culture.",Khaled Marei,132 min,"Comedies, Dramas, International Movies",TV-MA,2010,s2631,Bittersweet,Movie
"Rajat Barmecha, Ronit Roy, Ram Kapoor, Aayan Boradia, Manjot Singh, Anand Tiwari, Raja Hudda, Shaunak Sengupta, Varun Khettry, Akshay Sachdev",India,01-10-2018,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future.",Vikramaditya Motwane,137 min,"Dramas, Independent Movies, International Movies",TV-MA,2010,s4611,Udaan,Movie
"Sachin Khedekar, Seema Biswas, Ankush Chaudhari, Satish Kaushik, Siddarth Jadhav, Shashank Shende, Sameer Dharmadhikari, Karan Patel, Veena Jamkar, Kashmira Shah",India,15-03-2018,Industrial workers struggle against the greed of their employers and the apathy of the government toward the conditions in which they live and work.,Mahesh Manjrekar,145 min,"Dramas, International Movies",TV-MA,2010,s7266,Lalbaug Parel: Zali Mumbai Sonyachi,Movie
"Cristi Puiu, Clara Voda, Catrinel Dumitrescu, Luminita Gheorghiu, Valentin Popescu, Gheorghe Ifrim, Ileana Puiu, Valeria Seciu, Gelu Colceag","Romania, France, Switzerland, Germany",04-03-2020,"42-year-old Viorel, a distraught engineer, takes drastic measures to end his emotional suffering after enduring a devastating divorce.",Cristi Puiu,186 min,"Dramas, International Movies",TV-MA,2010,s2844,Aurora,Movie
Whitney Cummings,United States,01-01-2019,"Comedy Central roast veteran Whitney Cummings gets the stage to herself in this debut special, which finds her riffing on a wide range of topics.",John Fortenberry,48 min,Stand-Up Comedy,TV-MA,2010,s4229,Whitney Cummings: Money Shot,Movie
Kevin Hart,United States,01-10-2018,"With his unique hip-hop style delivery, African American stand-up comedian Kevin Hart expounds on life at a sold-out concert performance.",Shannon Hartman,67 min,Stand-Up Comedy,TV-MA,2010,s7181,Kevin Hart: Seriously Funny,Movie
"Nadine Labaky, Takla Chamoun, Hend Taher, Badih Abou Chakra, Rodrigue Sleiman, Nazih Youssef, Patricia Nammour, Pauline Haddad, Nasri Sayegh, Joelle Hannah, Inaam Germanos",Lebanon,18-06-2020,"In 1976 Beirut, after a rendezvous with her old flame, soon-to-wed Noha witnesses a violent incident and changes course on a path to self-realization.",Georges Hachem,76 min,"Dramas, International Movies, Romantic Movies",TV-MA,2010,s2375,Stray Bullet,Movie
"Ekin Cheng, Jordan Chan, Alex Fong, Michelle Ye, On-on Yu, Wilfred Lau, Conroy Chan",Hong Kong,01-12-2018,"Two former triads are tapped to run in an election for leader of the underworld, but both want normal lives. Each must outwit the other to lose.",Felix Chong,95 min,"Action & Adventure, Comedies, International Movies",TV-MA,2010,s4346,Once a Gangster,Movie
,,05-06-2020,A composer hides his love for his formerly blind ex when she returns to Egypt engaged to his childhood friend â€” the doctor who restored her sight.,,96 min,"Dramas, International Movies, Romantic Movies",TV-MA,2010,s2426,The Light of My Eyes,Movie
"Omoni Oboli, Sam Sarpong, Terri Oliver, Colin Paradine, Mark Cassius","Canada, Nigeria",20-05-2020,A Nigerian couple living in the U.S. face agonizing fallout when they defy deportation orders with the hopes of giving their unborn child citizenship.,Lonzo Nzekwe,97 min,"Dramas, International Movies",TV-MA,2010,s2494,Anchor Baby,Movie
"Mallika Sherawat, Irrfan Khan, Jeff Doucette, Divya Dutta, Raman Trikha, Mahmoud Babai, Raj Bhansali, Sunny Charles, Tony Ciccone, Parvez Khan","India, United States",01-12-2017,"In a plot to bait the snake-goddess Nagin for her immortality-granting essence, George States journeys to India and abducts her reptilian lover.",Jennifer Lynch,97 min,"Horror Movies, International Movies, Thrillers",TV-MA,2010,s6974,Hisss,Movie
"BÃ¼ÅŸra Pekin, Nur Aysan, Ruhi SarÄ±, Nergis Ã–ztÃ¼rk, Nadir SarÄ±bacak, Serkan Ercan, Sermet YeÅŸil, Enes Mazak, Zafer Diper",Turkey,07-09-2020,"A toll booth operator's mundane life is upended when he's reassigned to a remote spot, where he finds intriguing strangers â€” and a new side to himself.",Tolga KaraÃ§elik,98 min,"Dramas, Independent Movies, International Movies",TV-MA,2010,s2040,Toll Booth,Movie
"Demet AkbaÄŸ, Ata Demirer, Ã–zge Borak, Bican GÃ¼nalan, Salih Kalyon, Tanju Tuncel, Meray Ãœlgen",Turkey,10-03-2017,"A clarinet player who lives with his grandparents in a small village is forced to move to Istanbul, where he meets a singer enjoying sudden fame.",Hakan AlgÃ¼l,99 min,"Comedies, International Movies",TV-MA,2010,s6726,Eyyvah Eyyvah,Movie
"AyÃ§a Erturan, Aydan TaÅŸ, AyÅŸegÃ¼l Akdemir, Burcu GÃ¶nder, BÃ¼lent Emrah Parlak, BÃ¼ÅŸra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem TuÄŸral, GÃ¼lhan Tekin, GÃ¼lsÃ¼m Alkan, Hamdi Kahraman, Ä°brahim BÃ¼yÃ¼kak, Metin KeÃ§eci",Turkey,10-03-2017,"Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.",Ozan AÃ§Ä±ktan,99 min,"Comedies, International Movies",TV-MA,2010,s5977,Ã‡ok Filim Hareketler Bunlar,Movie
,United States,01-04-2017,Computer users across the globe log onto the virtual world of Second Life. But some users' lives are dramatically consumed by this alternate reality.,Jason Spingarn-Koff,99 min,Documentaries,TV-MA,2010,s5549,Life 2.0,Movie
"Imran Khan, Vir Das, Kunaal Roy Kapur, Poorna Jagannathan, Shenaz Treasury, Vijay Raaz, Paresh Ganatra, Rahul Singh",India,17-04-2021,"Three flatmates get involved in the shady business belonging to one roomie's fiancÃ©, and discover that a global crime syndicate is gunning for them.",Abhinay Deo,101 min,"Action & Adventure, Comedies, International Movies",TV-MA,2011,s1017,Delhi Belly,Movie
"Reza Rahadian, Revalina S. Temat, Rio Dewanto, Agus Kuncoro Adi, Endhita, Hengky Solaiman, Edmay Solaiman, Dedi Soetomo, M Ibrahim",Indonesia,14-01-2021,"In a story of interconnected lives, three families of different religious faiths navigate conflicting beliefs, hardships and other struggles.",Hanung Bramantyo,102 min,"Dramas, International Movies",TV-MA,2011,s1414,Tanda Tanya,Movie
"Kohtee Aramboy, Yingsak Chonglertjetsadawong, Jaturong Mokjok, Apaporn Nakornsawan, Pharanyu Rojanawuthitham, Wiradit Srimalai, Ekkachai Srivichai, Chaiwat Thongsaeng, Kachapa Toncharoen",Thailand,25-07-2018,"The spirited trio are back to take on a new ghost-busting adventure at a mens' residence, where spooky secrets lurk around every corner.",Poj Arnon,103 min,"Comedies, Horror Movies, International Movies",TV-MA,2011,s7644,Oh My Ghost 2,Movie
"Anne Curtis, Derek Ramsay, Cristine Reyes, Tirso Cruz III, Carmi Martin, John Arcilla, Marlann Flores, Ron Morales, Kat Alano",Philippines,04-03-2019,"A happily married man gives in to temptation when a wealthy client pursues him, setting off a torrid love triangle.",Ruel S. Bayani,103 min,"Dramas, International Movies, Romantic Movies",TV-MA,2011,s4048,No Other Woman,Movie
"Prisia Nasution, Oka Antara, Slamet Rahardjo, Dewi Irawan, Lukman Sardi, Tio Pakusadewo",Indonesia,08-12-2018,"Orphaned by a tragedy that took the lives of her parents, Srintil grows up in a poor Indonesian village aspiring to be a sacred dancer.",Ifa Isfansyah,105 min,"Dramas, International Movies, Romantic Movies",TV-MA,2011,s8266,The Dancer,Movie
"Deepti Naval, Vijay Raaz, Meghna Naidu, Saadhika Randhawa, Ritisha Vijayvargya, Manoj Biddvai, Sayaji Shinde, Reema Lagoo",India,01-11-2017,"In a village where girls are auctioned off rather than married, a man falls in love with a girl who is about to face the bidders.",Ashok Nanda,107 min,"Dramas, Independent Movies, International Movies",TV-MA,2011,s7874,Rivaaz,Movie
"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit",Thailand,07-09-2018,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",Sopon Sukdapisit,112 min,"Horror Movies, International Movies",TV-MA,2011,s7261,Laddaland,Movie
"Mehmet GÃ¼nsÃ¼r, BelÃ§im Bilgin, Ayda Aksel, Altan Erkekli, Sebnem SÃ¶nmez, HÃ¼seyin Avni Danyal, Berna Konur, Ãœmit BÃ¼lent DinÃ§er",Turkey,04-04-2018,"A series of coincidences brings two star-crossed lovers together, but fate pulls them apart until they encounter each other again in Istanbul.",Ã–mer Faruk Sorak,122 min,"Dramas, International Movies, Romantic Movies",TV-MA,2011,s6071,AÅŸk TesadÃ¼fleri Sever,Movie
"Rajeev Khandelwal, Kalki Koechlin, Gulshan Devaiah, Shiv Pandit, Kirti Kulhari, Neil Bhoopalam, Nikhil Chinappa, Rajit Kapoor, Rajkummar Rao, Pavan Malhotra",India,05-07-2020,"When they're blackmailed after a hit-and-run, a troubled rich girl and her wild friends stage a fake kidnapping with a plan to collect the ransom.",Bejoy Nambiar,126 min,"Action & Adventure, Dramas, Independent Movies",TV-MA,2011,s2289,Shaitan,Movie
"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",Thailand,05-09-2018,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",Chayanop Boonprakob,130 min,"Comedies, International Movies, Music & Musicals",TV-MA,2011,s8114,Suckseed,Movie
"Rani Mukerji, Vidya Balan, Myra Karn, Neil Bhoopalam, Rajesh Sharma, Mohammed Zeeshan Ayyub, Bubbles Sabharwal, Satyadeep Misra, Yogendra Tikku, Geeta Sudan",India,01-11-2018,This thriller tells the true story of model Jessica Lall â€“ who was shot dead in a restaurant â€“ and the campaign to bring her killer to justice.,Raj Kumar Gupta,131 min,"Dramas, International Movies",TV-MA,2011,s4454,No One Killed Jessica,Movie
"Tim Minchin, Jules Buckley",United Kingdom,31-12-2018,"Flanked by a full orchestra, Tim Minchin takes the Royal Albert Hall by storm with a wonderfully witty evening of satirical musical comedy.",Matt Askem,146 min,"Music & Musicals, Stand-Up Comedy",TV-MA,2011,s4247,Tim Minchin And The Heritage Orchestra Live,Movie
"Priyanka Chopra, Neil Nitin Mukesh, John Abraham, Irrfan Khan, Aleksandr Dyachenko, Annu Kapoor, Naseeruddin Shah, Vivaan Shah, Usha Uthup, Konkona Sen Sharma",India,02-08-2018,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men â€“ only to find them flawed.",Vishal Bhardwaj,148 min,"Dramas, International Movies, Thrillers",TV-MA,2011,s4720,7 Khoon Maaf,Movie
Lavell Crawford,United States,02-08-2016,"""Last Comic Standing"" runner-up Lavell Crawford lords over a hometown crowd at St. Louis's Orpheum Theatre, raking in the love â€“ and the laughs.",Michael Drumm,81 min,Stand-Up Comedy,TV-MA,2011,s5821,Lavell Crawford: Can a Brother Get Some Love?,Movie
"Naseeruddin Shah, Mahie Gill, Sabyasachi Chakraborty, Rudranil Ghosh, Iravati Harshe, Churni Ganguly, June Maliah, Purav Bhandare, Shridhar Watsar",India,05-07-2020,"After a dedicated cop accidentally kills a 12-year-old boy, he's fired, harassed and forced to take menial work as he tries to keep his life together.",Ribhu Dasgupta,86 min,"Dramas, Independent Movies, International Movies",TV-MA,2011,s2280,Michael,Movie
"BenoÃ®t Magimel, Isabelle CarrÃ©, Antoine DulÃ©ry, Ramzy BÃ©dia, Bouli Lanners, Marie-Ange Casta, Daniel Duval, Lubna Azabal, Aurore ClÃ©ment, Audrey Tautou","France, Belgium",01-01-2017,"After his wife inexplicably disappears, a man takes their two children and relocates to his hometown in an attempt to end their grief and move on.",Jalil Lespert,92 min,"Dramas, Independent Movies, International Movies",TV-MA,2011,s5650,Headwinds,Movie
"Somchai Kemglad, Pitchanart Sakakorn, Chinaradi Anupongphichart, Arisara Thongborisut, Peerawit Boonark, Chudapha Chanthakhet, Ganthida Chaang",Thailand,30-07-2018,"A couple and their young daughter are haunted by a paranormal, malicious presence â€“ which is soon linked to a temple and a series of abortions.",Poj Arnon,93 min,"Horror Movies, International Movies",TV-MA,2011,s8544,The Unborn Child,Movie
Jeff Dunham,United States,15-03-2019,"Politically incorrect and often raunchy humor pepper ventriloquist Dunham's live concert performance featuring characters Walter, Achmed and Peanut.","Michael Simon, Matthew McNeil",97 min,Stand-Up Comedy,TV-MA,2011,s4009,Jeff Dunham: Controlled Chaos,Movie
Mohamed Ramadan,Egypt,19-04-2019,"Following the mysterious death of his parents, a young man finds himself enmeshed in the dark world of drugs and crime.",,100 min,"Action & Adventure, Dramas, International Movies",TV-MA,2012,s6078,Abdo Mota,Movie
"Shaimaa Abdelkader, Samiha Ayyoub, Fify El Sebaay, Emy Samir Ghanim, Mohamed Henedi, Bassem Samra",Egypt,02-06-2020,"As a man fumbles to keep things in order, his assertive grandmother tries to straighten out his life when she returns to live with him.",Sameh Abdulaziz,100 min,"Comedies, Dramas, International Movies",TV-MA,2012,s2438,My Horrible Grandma,Movie
